date,MSFT,AAPL,FB,AMZN,GOOG
20190430,130.6,200.67,193.4,1926.52,1198.96
20190501,127.88,210.52,193.03,1911.52,1173.32
20190502,126.21,209.15,192.53,1900.82,1166.51
20190503,128.9,211.75,195.47,1962.46,1189.55
20190506,128.15,208.48,193.88,1950.55,1193.46
20190507,125.52,202.86,189.77,1921,1178.86
20190508,125.51,202.9,189.54,1917.77,1170.78
20190509,125.5,200.72,188.65,1899.87,1167.97
20190510,127.13,197.18,188.34,1889.98,1167.64
20190513,123.35,185.72,181.54,1822.68,1136.59
20190514,124.73,188.66,180.73,1840.12,1124.86
20190515,126.02,190.92,186.27,1871.15,1170.8
20190516,128.93,190.08,186.99,1907.57,1184.5
20190517,128.07,189,185.3,1869,1168.78
20190520,126.22,183.09,182.72,1858.97,1144.66
20190521,126.9,186.6,184.82,1857.52,1154.44
20190522,127.67,182.78,185.32,1859.68,1155.85
20190523,126.18,179.66,180.87,1815.48,1145.34
20190524,126.24,178.97,181.06,1823.28,1138.61
20190527,126.24,178.97,181.06,1823.28,1138.61
20190528,126.16,178.23,184.31,1836.43,1139.56
20190529,124.94,177.38,182.19,1819.19,1119.94
20190530,125.73,178.3,183.01,1816.32,1121.41
20190531,123.68,175.07,177.47,1775.07,1106.5
